"YEAR","MN","LEAD","CD","ForecastedMEAN","ClimatologicalMEAN","ForecastedSD","ClimatologicalSD","PO","2.","10.","30.","50.","70.","90.","98."
2020,5,1,1,12.29,12.29,0.1,0.1,0.29,17.05,15.14,13.41,12.29,11.26,9.86,8.58
2020,5,2,1,11.98,11.98,2.29,2.29,1.07,15.65,14.28,12.93,11.98,11.04,9.66,8.24
2020,5,3,1,11.67,11.67,0.2,0.2,0.33,19.43,16.22,13.42,11.67,10.11,8.1,6.35
2020,5,4,1,11.06,11.06,0.14,0.14,0.28,18.06,15.15,12.63,11.06,9.66,7.85,6.28
2020,5,5,1,11.06,11.06,0.18,0.18,0.28,20.54,16.5,13.11,11.06,9.29,7.08,5.25
2020,5,6,1,9.72,9.72,0.48,0.48,0.58,14.57,12.66,10.89,9.72,8.63,7.13,5.74
2020,5,7,1,8.29,8.29,1.38,1.38,0.94,11.76,10.45,9.17,8.29,7.42,6.17,4.92
2020,5,8,1,7.92,7.92,2,2,1.04,11.53,10.19,8.85,7.92,6.99,5.64,4.25
2020,5,9,1,7.98,7.98,0.31,0.31,0.48,12.4,10.63,9.02,7.98,7.02,5.74,4.57
2020,5,10,1,9.24,9.24,0.29,0.29,0.45,14.37,12.3,10.44,9.24,8.14,6.67,5.34
2020,5,11,1,11.28,11.02,1.3224,1.38,0.83,16.35,14.4,12.51,11.23,9.99,8.23,6.51
2020,5,12,1,12.11,11.77,0.1679,0.17,0.35,17.59,15.31,13.26,11.94,10.73,9.11,7.65
2020,5,13,1,12.58,12.29,0.1,0.1,0.29,17.25,15.32,13.58,12.45,11.41,10,8.7
2020,5,1,2,11.71,11.71,0.11,0.11,0.25,18.6,15.74,13.26,11.71,10.33,8.53,6.96
2020,5,2,2,11.21,11.21,0.18,0.18,0.33,17.9,15.15,12.73,11.21,9.84,8.04,6.46
2020,5,3,2,11.3,11.3,0.18,0.18,0.29,20.2,16.44,13.24,11.3,9.59,7.44,5.63
2020,5,4,2,12.35,12.35,0.18,0.18,0.31,20.5,17.12,14.18,12.35,10.72,8.62,6.79
2020,5,5,2,12.7,12.7,0.19,0.19,0.29,22.96,18.62,14.94,12.7,10.75,8.29,6.24
2020,5,6,2,11.87,11.87,0.54,0.54,0.58,17.8,15.47,13.3,11.87,10.54,8.71,7.01
2020,5,7,2,10.01,10.01,0.62,0.62,0.65,14.74,12.9,11.17,10.01,8.92,7.41,5.98
