"MN","CD","MeanAnomaly","SDAnomaly"
11,1,0.0444,-0.0854
12,1,0.0222,-0.0427
1,1,-0.0259,-0.0845
2,1,-0.0444,-0.0583
3,1,-0.0444,-0.0583
4,1,0.0907,-0.02
5,1,0.1796,-0.0287
6,1,0.3037,-0.0498
7,1,0.35,-0.0459
8,1,0.4185,-0.0441
9,1,0.3926,-0.0324
10,1,0.4019,-0.0358
11,2,0.0611,-0.0886
12,2,0.0306,-0.0443
1,2,0.0204,-0.0295
2,2,0,0
3,2,0,0
4,2,0.1019,-0.0149
5,2,0.2,-0.0161
6,2,0.3426,-0.0229
7,2,0.3907,-0.0101
8,2,0.4426,-0.0121
9,2,0.4,-0.0249
10,2,0.3778,-0.0306
11,3,0,0
12,3,0,0
1,3,-0.0778,-0.0393
2,3,-0.0778,-0.0393
3,3,-0.0778,-0.0393
4,3,0.1074,-0.0066
5,3,0.2296,-0.0166
6,3,0.3759,-0.0349
7,3,0.4333,-0.056
8,3,0.4481,-0.0526
9,3,0.3778,-0.0374
10,3,0.3278,-0.0163
11,4,0.0611,-0.0469
12,4,0.0306,-0.0234
1,4,0.0056,-0.0466
2,4,-0.0148,-0.031
3,4,0.0019,-0.0576
4,4,0.1426,-0.042
5,4,0.2833,-0.0473
6,4,0.4278,-0.0365
7,4,0.4704,-0.0379
8,4,0.4722,-0.0372
9,4,0.4074,-0.0214
10,4,0.337,-0.0103
11,5,0,0
12,5,-0.0389,-0.0714
1,5,-0.1259,-0.0818
2,5,-0.1259,-0.0818
3,5,-0.1,-0.0342
4,5,0.1074,-0.0158
5,5,0.2148,-0.0231
6,5,0.3352,-0.046
7,5,0.3796,-0.0344
8,5,0.3796,-0.0422
9,5,0.3222,-0.0303
10,5,0.263,-0.0354
11,6,0,0
12,6,-0.0667,-0.0769
1,6,-0.0685,-0.0669
2,6,-0.0685,-0.0669
3,6,0.0111,-0.0413
4,6,0.1426,-0.0389
5,6,0.2167,-0.0565
6,6,0.2722,-0.0566
7,6,0.287,-0.0691
8,6,0.3185,-0.0664
9,6,0.287,-0.0502
10,6,0.2407,-0.0481
11,7,0.0833,-0.0566
12,7,0.0417,-0.0283
1,7,0.0278,-0.0189
2,7,0,0
3,7,0.0574,-0.0177
4,7,0.2167,-0.0229
5,7,0.3556,-0.0469
6,7,0.4593,-0.0563
7,7,0.4685,-0.0729
8,7,0.45,-0.055
9,7,0.3648,-0.0488
10,7,0.2667,-0.0473
11,8,0.0333,-0.0623
12,8,0.0167,-0.0312
1,8,-0.0111,-0.0405
2,8,-0.0222,-0.0197
3,8,0,-0.0338
4,8,0.1685,-0.0231
5,8,0.2907,-0.0386
6,8,0.4074,-0.0288
7,8,0.4148,-0.0314
8,8,0.4019,-0.0353
9,8,0.3296,-0.047
10,8,0.2593,-0.0549
11,9,0.0556,-0.0999
12,9,0.0278,-0.05
1,9,0.0185,-0.0333
2,9,0,0
3,9,0.0889,-0.0155
4,9,0.2444,-0.0205
5,9,0.3259,-0.0338
6,9,0.3444,-0.0431
7,9,0.3,-0.0506
8,9,0.3259,-0.0522
9,9,0.2815,-0.0409
10,9,0.2296,-0.0398
11,10,0.1,-0.0479
12,10,0.05,-0.0239
1,10,0.0333,-0.016
2,10,0.0315,-0.038
3,10,0.1574,-0.0575
4,10,0.3204,-0.0608
5,10,0.4093,-0.0421
6,10,0.4407,-0.0454
7,10,0.4315,-0.0536
8,10,0.4185,-0.0351
9,10,0.3296,-0.0171
10,10,0.2259,-0.0234
11,11,0.0833,-0.0647
12,11,0.0417,-0.0324
1,11,0.0278,-0.0216
2,11,0.0444,-0.0208
3,11,0.2019,-0.0274
4,11,0.363,-0.0379
5,11,0.3963,-0.0399
6,11,0.35,-0.0542
7,11,0.3056,-0.052
8,11,0.3389,-0.0322
9,11,0.2926,-0.0157
10,11,0.2167,-0.0079
11,12,0.1833,-0.0983
12,12,0.0917,-0.0492
1,12,0.0611,-0.0328
2,12,0.0722,-0.0195
3,12,0.2463,-0.0278
4,12,0.3852,-0.0418
5,12,0.4093,-0.0387
6,12,0.3722,-0.0481
7,12,0.3796,-0.0432
8,12,0.3815,-0.032
9,12,0.3241,-0.0186
10,12,0.2111,-0.0202
11,13,0.1389,-0.0914
12,13,0.0694,-0.0457
1,13,0.0463,-0.0305
2,13,0.063,-0.0202
