Day,Day.med,Day.10,Day.90,ppt.med,ppt.10,ppt.90,Deep.med,Deep.10,Deep.90,Intermediate.med,Intermediate.10,Intermediate.90,Shallow.med,Shallow.10,Shallow.90,ppt_rollsum.med,ppt_rollsum.10,ppt_rollsum.90,avgC_rollmean.med,avgC_rollmean.10,avgC_rollmean.90,VWCShallow_rollmean.med,VWCShallow_rollmean.10,VWCShallow_rollmean.90,VWCInter_rollmean.med,VWCInter_rollmean.10,VWCInter_rollmean.90,VWCDeep_rollmean.med,VWCDeep_rollmean.10,VWCDeep_rollmean.90
1,0.3497,-5.402375,3.120055,0,0,0.03969,0.182212080033287,0.119086355420025,0.248886292097988,0.186322362884383,0.119458109172827,0.240761934526059,0.234287224786261,0.118274282284175,0.34844176675855,5.3626,0.33304,11.13497,-1.11328416666667,-3.05761316666667,1.28255883333333,0.229914548809305,0.118369361487179,0.342674394655676,0.186283074368152,0.119710624732022,0.24062359111925,0.182177534394099,0.119904910484704,0.248841686653654
2,-0.42295,-4.98794,3.363205,0,0,0.149090000000001,0.182306922520099,0.119549395731512,0.248854183532816,0.186208846388309,0.119922093350052,0.240408205239779,0.234057988769731,0.118180707166445,0.35556197000218,5.5993,0.36589,11.20021,-1.0870925,-3.18467566666667,1.28092583333333,0.231224869142638,0.118255746782725,0.345459851912084,0.18617057821284,0.119929482220189,0.240277932219051,0.182273694852013,0.120088278513338,0.248809212124767
3,-0.3594,-5.279345,2.88503,0.01355,0,0.93083,0.182400393109044,0.120008258700249,0.248820854299347,0.186096104413341,0.119975290172636,0.242593645125013,0.243671680545093,0.118090888471742,0.362504896720656,5.73505,0.36589,11.21196,-1.12673333333333,-3.13311516666667,1.373777,0.233824516283696,0.11861714824687,0.348194343739842,0.186058356605132,0.120148163268067,0.239933667219706,0.182367691952436,0.120275355366392,0.248775436355453
4,-0.0399250000000001,-5.94885,3.57225,0,0,1.89607,0.182491848435647,0.120471354473482,0.248786348147706,0.191067016238813,0.119983578797473,0.242283808820067,0.245320056143443,0.118004183426942,0.368014524736132,5.6307,0.35603,11.21461,-1.0287725,-3.08644183333333,1.46057783333333,0.2361618654021,0.119437360362241,0.350882183046791,0.185946564074065,0.120366691440867,0.239590769771131,0.182459549478504,0.120465739507774,0.248740339549888
5,-0.605525,-5.801345,3.655265,0.0197,0,1.22005,0.182581300743514,0.120906623367252,0.248753038409469,0.190950002113638,0.119987652240298,0.242015623825114,0.246628289675988,0.117920240838599,0.377026988856406,5.684,0.35882,11.21461,-1.06589166666667,-3.25485766666667,1.60956133333333,0.238476250628268,0.120339412723077,0.352364602271285,0.18583396486023,0.120585046468663,0.239609829898942,0.182549290120553,0.120659042679654,0.248703908716723
6,-0.85075,-6.576005,1.91817,0.01295,0,1.02706,0.182668761735968,0.121079488315162,0.24871895436231,0.190832642773195,0.120004317716819,0.241678739738666,0.246606337654424,0.117839314994075,0.383000335363082,5.37215,0.35882,12.77026,-1.18877416666667,-3.19100333333333,1.66143266666667,0.240920660954857,0.121151988963677,0.352923949980469,0.18572035456054,0.120803230390591,0.239880729756706,0.182636936159813,0.120854916245746,0.248666141131513
7,-1.52885,-6.978425,4.050165,0,0,0.577120000000001,0.182754242224933,0.121079496010456,0.248681991325525,0.190714334921684,0.119995115491445,0.241340789057334,0.24658438586129,0.117760684708936,0.384171612824048,5.3166,0.35882,12.15407,-1.27408416666667,-3.265079,1.34246383333333,0.244154366346037,0.121882485469055,0.354958963958365,0.185605545677507,0.121021257879316,0.240144670386203,0.182722513534231,0.121053029917836,0.248627037133272
8,-0.369775,-5.630235,3.83372,0,0,0.320850000000001,0.182837753590225,0.121078307347324,0.248644203378895,0.1905949129269,0.119983445773297,0.241002494628816,0.246562434299897,0.117684011984548,0.384171612824048,5.07965,0.35882,12.15407,-1.27596166666667,-3.2771075,1.39142383333333,0.248870268659877,0.122533422169077,0.359054114776233,0.185489262788109,0.121239145707898,0.240400554600045,0.182806048794053,0.121253061877907,0.2485865957227
9,-0.479975,-4.45288,3.28997,0,0,0.0862200000000003,0.182919317473517,0.121075744898271,0.248605696198533,0.190474507735001,0.119963085845198,0.243874637716095,0.246540482991132,0.117609066628578,0.384171612824048,4.9875,0.35882,12.15407,-1.23470916666667,-3.27177666666667,1.60738616666667,0.250366655198557,0.122676949139724,0.363149781684435,0.18572480577575,0.121456907672158,0.240628303812943,0.182887570255347,0.121372208450556,0.24854481845743
10,-0.01085,-2.546385,2.95881,0,0,0.67371,0.182998956664775,0.1210724122015,0.24856629022841,0.190353244675824,0.119943374844062,0.24344452788257,0.246518532323758,0.117535788663942,0.384171612824048,4.44795,0.58933,12.71999,-1.06623916666667,-3.09179083333333,1.95485366666667,0.251043681029102,0.122492529376102,0.367246276458433,0.186480205071543,0.121674557597271,0.240429114068652,0.182967107373094,0.121625265678647,0.248501705142861
