ryear,Germination_Emergence,SeedlingSurvival_1stSeason
1981,TRUE,TRUE
1982,TRUE,TRUE
1983,TRUE,TRUE
1984,TRUE,TRUE
1985,TRUE,FALSE
1986,TRUE,TRUE
1987,TRUE,TRUE
1988,TRUE,TRUE
1989,TRUE,FALSE
1990,TRUE,TRUE
1991,TRUE,TRUE
1992,TRUE,TRUE
1993,TRUE,FALSE
1994,TRUE,FALSE
1995,TRUE,TRUE
1996,TRUE,TRUE
1997,TRUE,TRUE
1998,TRUE,TRUE
1999,TRUE,FALSE
2000,TRUE,TRUE
2001,TRUE,TRUE
2002,TRUE,TRUE
2003,TRUE,TRUE
2004,TRUE,TRUE
2005,TRUE,TRUE
2006,TRUE,TRUE
2007,TRUE,TRUE
2008,TRUE,TRUE
2009,TRUE,TRUE
2010,TRUE,TRUE
2011,TRUE,TRUE
2012,TRUE,TRUE
2013,TRUE,TRUE
2014,TRUE,FALSE
2015,TRUE,TRUE
2016,TRUE,TRUE
2017,TRUE,FALSE
2018,TRUE,FALSE
2019,TRUE,FALSE
