YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,PO,2.,10.,30.,50.,70.,90.,98.,ClimatatologicalMEAN_PPT_PO,ClimatatologicalMEAN_PPT_cm,ForecastedMEAN_PPT_PO,ForecastedMEAN_PPT_cm,ForecastedSD_PPT_in,ForecastedSD_PPT_cm,Anom_PO,ClimatologicalMEDIAN_PPT_in,ClimatatologicalMEDIAN_PPT_cm,ForecastedMEDIAN_PPT_cm_Internal,Anom_cm,Anom_CF
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,7.93,6.63,5.47,4.72,4.05,3.16,2.37,2.13910242141366,11.9888,2.13910242141366,11.9888,0.0856841553301825,0.217637754538664,0,4.71694321857858,11.9810357751896,11.9835149137791,0.00247913858948756,1.0002069218919
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,9.46,8.05,6.75,5.89,5.1,4.02,3.03,2.94964893614864,14.9606,2.94964893614864,14.9606,0.300223477732874,0.762567633441501,0,5.89218970834291,14.966161859191,14.9649828534245,-0.00117900576646512,0.999921221901944
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,7.95,6.87,5.85,5.17,4.53,3.64,2.81,3.06819016634542,13.208,3.07620973388962,13.2588,0.36626063819515,0.930302021015681,0.00801956754419209,5.20155935045234,13.2119607501489,13.2584515829766,0.0464908328276721,1.0035188443038
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,7.74,5.92,4.4,3.5,2.73,1.81,1.09,1.68032169291981,9.2964,1.6912864752627,9.4488,0.0492129128664663,0.125000798680824,0.0109647823428902,3.66097283524743,9.29887100152848,9.44857444465753,0.14970344312905,1.01609909881581
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,9.97,6.83,4.5,3.26,2.31,1.29,0.64,1.40050410263047,8.4582,1.44678517052589,9.4996,0.00688577344581892,0.0174898645523801,0.0462810678954109,3.32860831497236,8.4546651200298,9.52114577353478,1.06648065350498,1.12614108759653
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,10.25,6.98,4.57,3.3,2.32,1.3,0.64,1.38038033530104,8.382,1.38038033530104,8.382,0.00506391118905434,0.012862334420198,0,3.30245870977418,8.38824512282641,8.37731688843235,-0.0109282343940613,0.998697196584739
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,10.99,7.29,4.64,3.28,2.26,1.22,0.58,1.35989859948847,8.6868,1.40167338222528,9.8044,0.0028277252628496,0.00718242216763798,0.0417747827368111,3.42563804482517,8.70112063385594,9.80430583754986,1.10318520369392,1.12678656579032
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,9.65,6.79,4.62,3.44,2.51,1.5,0.81,1.44024835952778,9.3472,1.45963559393794,9.8044,0.00522103647885012,0.0132614326562793,0.0193872344101562,3.67633577510578,9.33789286876868,9.81276581865392,0.474872949885237,1.05085440115441
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,6.57,5.14,3.89,3.13,2.45,1.61,0.94,1.82986627846001,8.3058,1.83271806332737,8.3312,0.165853817864204,0.421268697375077,0.00285178486736126,3.26729492051839,8.29892909811672,8.32939300120482,0.0304639030880995,1.00367082339516
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,5.45,4.16,3.06,2.39,1.82,1.13,0.61,1.54944329365008,6.3246,1.56430049949519,6.4516,0.117512491374991,0.298481728092477,0.0148572058451069,2.48977627372879,6.32403173527114,6.44306254326529,0.119030807994156,1.01882198144742
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,4.26,2.95,1.96,1.43,1.02,0.58,0.29,1.10929600993977,3.6322,1.10929600993977,3.6322,0.00388828961794826,0.00987625562958857,0,1.4304522809152,3.63334879352459,3.63095887244812,-0.00238992107647418,0.999342226355825
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,5.34,4.29,3.35,2.76,2.23,1.55,0.99,1.7301784734865,7.0104,1.7301784734865,7.0104,0.150777995168525,0.382976107728054,0,2.75850051614419,7.00659131100624,7.01067381773493,0.00408250672869226,1.00058266659885
