YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,PO,Modifier,ForecastedSD_in,Prediction_in,Anom_CF,Anom_in,Anom_cm
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,0.571370604627251,0.0856841553301825,5.52410984163019,1.17036225458267,0.804109841630193,2.04243899774069
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,0.571370604627251,0.300223477732874,6.81418475664976,1.15690742897279,0.924184756649761,2.34742928189039
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,0.571370604627251,0.36626063819515,5.95582316588946,1.1453506088249,0.755823165889462,1.91979084135923
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,0.571370604627251,0.0492129128664663,4.73466558773066,1.29362447752204,1.07466558773066,2.72965059283587
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,0.571370604627251,0.00688577344581892,5.22219060046315,1.56822540554449,1.89219060046315,4.8061641251764
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,0.571370604627251,0.00506391118905434,4.68658904469479,1.42017849839236,1.38658904469479,3.52193617352477
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,0.571370604627251,0.0028277252628496,5.52913835791622,1.61670712219772,2.10913835791621,5.35721142910719
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,0.571370604627251,0.00522103647885012,5.2490097433129,1.42636134329155,1.5690097433129,3.98528474801476
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,0.571370604627251,0.165853817864204,4.12999212579248,1.26299453388149,0.85999212579248,2.1843799995129
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,0.571370604627251,0.117512491374991,3.28068910680643,1.31754582602668,0.790689106806429,2.00835033128833
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,0.571370604627251,0.00388828961794826,2.00524991124724,1.40227266520786,0.575249911247242,1.461134774568
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,0.571370604627251,0.150777995168525,3.39823171490625,1.23124337496603,0.63823171490625,1.62110855586188
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,0.571370604627251,0.0856841553301825,5.52410984163019,1.17036225458267,0.804109841630193,2.04243899774069
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.717713779166694,0.0856841553301825,3.80113075268182,0.805324312008861,-0.918869247318177,-2.33392788818817
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.717713779166694,0.300223477732874,4.80498461993685,0.815786862468056,-1.08501538006315,-2.75593906536041
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.717713779166694,0.36626063819515,4.34099383567943,0.834806506861429,-0.85900616432057,-2.18187565737425
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.717713779166694,0.0492129128664663,2.64728765304447,0.723302637443845,-1.01271234695553,-2.57228936126704
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-0.717713779166694,0.00688577344581892,2.33972054554288,0.702618782445309,-0.990279454457121,-2.51530981432109
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.717713779166694,0.00506391118905434,2.0142965337698,0.610392889021151,-1.2857034662302,-3.26568680422471
