Year,Prob,TP,run_sim
1979,0.818130588709195,Historical,
1980,0.657182327572001,Historical,
1981,0.79724524694552,Historical,
1982,0.802919780493135,Historical,
1983,0.693126448265526,Historical,
1984,0.742016169003163,Historical,
1985,0.698612854318546,Historical,
1986,0.832136509444588,Historical,
1987,0.68899511996239,Historical,
1988,0.643469920968816,Historical,
1989,0.771080437974156,Historical,
1990,0.773805324999673,Historical,
1991,0.771998058384742,Historical,
1992,0.747415579670026,Historical,
1993,0.680393257648318,Historical,
1994,0.718177245367943,Historical,
1995,0.612381931266886,Historical,
1996,0.761118281834216,Historical,
1997,0.845950540201443,Historical,
1998,0.730262170904241,Historical,
1999,0.684128915480858,Historical,
2000,0.746466441200015,Historical,
2001,0.612301484946604,Historical,
2002,0.65303778182896,Historical,
2003,0.69655735416713,Historical,
2004,0.719595320510999,Historical,
2005,0.681622494955415,Historical,
2006,0.646935196624816,Historical,
2007,0.769491801061331,Historical,
2008,0.662664723667259,Historical,
2009,0.807634404176163,Historical,
2010,0.724760155630481,Historical,
2011,0.616363983031948,Historical,
2012,0.697797487143977,Historical,
2013,0.585587833934192,Historical,
2014,0.593034248548104,Historical,
2015,0.628639987122032,Historical,
2016,0.626436752143316,Historical,
2017,0.606672142130671,Historical,
2018,0.70452940504937,Historical,
2019,0.641647017514014,2019,1
2020,0.62768134446317,2020,1
2019,0.641647017514014,2019,2
2020,0.665379736351957,2020,2
2019,0.641647017514014,2019,3
2020,0.686311358849618,2020,3
