FileName,NetCDF_1,NetCDF_2,FileDescription,Units
TMean_prediction_MeanOverNext90Days_from_2024-09-17_to_2024-12-09.tif,tmean_dy_gridSTDF_median-prediction.nc,,The mean of forecasted mean daily air temperature in this gridcell over the 90 days following the date when the forecast was run. The specific dates across which the temperature is averaged are given at the end of the file name ,degrees C
TMean_predictionDiffFromNormalPeriod_MeanOverNext90Days_from_2024-09-17_to_2024-12-09.tif,tmean_dy_gridSTDF_median-prediction.nc,tmean_dy_gridSTDF_historical_19910101-20201231-median.nc,"The mean across the next 90 days after the forecasting date of the daily difference between forecasted mean daily air temperature and  mean daily air temperature during the normal period. The specific dates across which the temperature is averaged are given at the end of the file name. Value in a grid cell = mean((forecastedTemp_day1 - normalPeriodTemp_day1), (forecastedTemp_Day2 - normalPeriodTemp_day2),...,(forecastedTemp_Day90 - normalPeriodTemp_day90)",degrees C
GISSM_HistoricalPreds_means_from_1991_to_2020.tif,GISSM_yr_gridSTDF_historical.nc,NA,"The mean hind-casted probability of sagebrush seedling establishment in the following year calculated using the GISSM (Schlapefer et al., 2014) model based on conditions in each year across the historical normal period (1991 - 2020). The years at the end of the file name indicate the years of the historical normal period used. ",Probability
GISSM_MeanPredictedAnomaliesRelativeToHistoricalMeans_for_2024.tif,GISSM_yr_gridSTDF_historical.nc,GISSM_yr_gridSTDF_prediction.nc,"The difference in sagebrush seedling establishment probability predicted by the GISSM (Schlaepfer et al., 2014) model based on conditions in the current year (the year that the simulation was run) compared to the mean predicted probability of establishment  based on conditions during the normal period. The probability of establishment based on conditions in the current year is an average of predicted probabilities from 30 simulations. The value at the end of the file name indicates the year whose conditions are input into the GISSM model (the model predicts sagebrush establishment in the year after the year indicated in the file name).  Value in grid cell = mean(P(establishment based on conditions in current year)_ simulation1, ..., P(establishment based on conditions in current year)_ simulation30) - meanP(establishment based on conditions from 1991-2020). ",Probability
GISSM_MeanPredictedAnomaliesRelativeToHistoricalMeans_for_2025.tif,GISSM_yr_gridSTDF_historical.nc,GISSM_yr_gridSTDF_prediction.nc,"The difference in sagebrush seedling establishment probability predicted by the GISSM (Schlaepfer  et al., 2014) model based on conditions in the following year (the year after the year in which the simulation was run) compared to the mean predicted probability of establishment  based on conditions during the normal period. The probability of establishment based on conditions in the next  year is an average of predicted probabilities from 30 simulations. The value at the end of the file name indicates the year whose conditions are input into the GISSM model (the model predicts sagebrush establishment in the year after the year indicated in the file name).  Value in grid cell = mean(P(establishment based on conditions in next year)_ simulation1, ..., P(establishment based on conditions in next year)_ simulation30) - meanP(establishment based on conditions from 1991-2020). ",Probability
OConnorPredicted_NumberOfMoistAndWarmDays_March_2025.tif,oconnor-swp_dy_gridSTDF_mean-prediction.nc,oconnor-soiltemp_dy_gridSTDF_mean-prediction.nc,"The  number of days in the next month of March following the forecast date during which the forecasted soil water potential is greater than -2.5 MPa and theforecasted  mean air temperature is greater than 0 degrees C.  These conditions were identified by O'Connor et al. 2020 as favorable for Sagebrush germination. The year at the end of the file name indicates the year these forecasted days fall in. For example, if a forecast simulation is run prior to March in a given year, the predicted number of warm and wet days indicated in this dataset will correspond to the month of March in the year when the forecast was run. If the the forecast simulation is run during or after March in a given year, the predicted number of warm and wet days will correspond to the month of March in the year following the year when the forecast was run. ",Days
OConnorPredicted_NumberOfVeryMoistDays_March_2025.tif,oconnor-swp_dy_gridSTDF_mean-prediction.nc,,"The  number of days in the next month of March following the forecast date during which the forecasted soil water potential is greater than -0.05 MPa and less than 0 MPa.  These conditions were identified by O'Connor et al. 2020 as very favorable for Sagebrush germination. The year at the end of the file name indicates the year these forecasted days fall in. For example, if a forecast simulation is run prior to March in a given year, the predicted number of very wet days indicated in this dataset will correspond to the month of March in the year when the forecast was run. If the the forecast simulation is run during or after March in a given year, the predicted number of very wet days will correspond to the month of March in the year following the year when the forecast was run. ",Days
Precip_prediction_MeanOverNext90Days_from_2024-09-17_to_2024-12-09.tif,ppt_dy_gridSTDF_median-prediction.nc,,The mean of forecasted total daily precipitation in this gridcell over the 90 days following the date when the forecast was run. The specific dates across which the precipitation is averaged are given at the end of the file name ,mm
Precip_predictionDiffFromNormalPeriod_MeanOverNext90Days_from_2024-09-17_to_2024-12-09.tif,ppt_dy_gridSTDF_median-prediction.nc,ppt_dy_gridSTDF_historical_19910101-20201231-median.nc,"The mean across the next 90 days after the forecasting date of the daily difference between forecasted total daily precipitation and  mean total daily precipitation during the normal period. The specific dates across which the precipitation is averaged are given at the end of the file name. Value in a grid cell = mean((forecasted{Precip_day1 - normalPeriodPrecip_day1), (forecastedPrecip_Day2 - normalPeriodPrecip_day2),...,(forecastedPrecip_Day90 - normalPeriodPrecip_day90)",mm
ShriverHistoricalPreds_medians_from_1991_to_2020.tif,shriver_yr_gridSTDF_historical.nc,,"The mean hind-casted probability of sagebrush seeding success based on conditions in each year across the historical normal period (1991 - 2020), calculated using the model from Shriver et al., 2018. The years at the end of the file name indicate the years of the historical normal period used. ",Probability
