"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
123,"123","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","ar1",0.474517918267452,"A",0.0475298578319572
123,"123","propMissAct_0.1_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.470700359004006,"B",0.0488137814874723
123,"123","propMissAct_0.16_autoCorr_0.09","MAR","Data Deletion Simple","ar1",0.379319551309222,"C",0.0531686014766171
123,"123","propMissAct_0.21_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.407949778228,"D",0.0538821833819497
123,"123","propMissAct_0.24_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.280728243620915,"E",0.0583188132670959
123,"123","propMissAct_0.32_autoCorr_0.07","MAR","Data Deletion Simple","ar1",0.354746248029784,"F",0.0594940553142165
123,"123","propMissAct_0.33_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.320892150222689,"G",0.0610719263226945
123,"123","propMissAct_0.38_autoCorr_0.03","MAR","Data Deletion Simple","ar1",0.300869210415023,"H",0.0636332991511786
123,"123","propMissAct_0.45_autoCorr_0.11","MAR","Data Deletion Simple","ar1",0.243267928352658,"I",0.069184115315831
123,"123","propMissAct_0.51_autoCorr_0.05","MAR","Data Deletion Simple","ar1",0.388313943943552,"J",0.0709031093184745
123,"123","propMissAct_0.57_autoCorr_0.02","MAR","Data Deletion Simple","ar1",0.133815548229443,"K",0.080042595431191
123,"123","propMissAct_0.58_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.237782240681639,"L",0.079697807050192
123,"123","propMissAct_0.64_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.33054605865065,"M",0.0817844307001725
123,"123","propMissAct_0.7_autoCorr_0.01","MAR","Data Deletion Simple","ar1",0.0955418514053346,"N",0.097166343189258
123,"123","propMissAct_0.79_autoCorr_0.04","MAR","Data Deletion Simple","ar1",0.12936421330957,"O",0.122513046042232
123,"123","propMissAct_0.05_autoCorr_0","MAR","Data Deletion Simple","intercept",0.729327083532684,"A",0.104547972302054
